epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,5490.36,1.35203,2.29834,1.35861,1.2836,0,0.59567,0.50624,0.50872,0.25222,0.50051,0.42647,0.37879,0.17297,1.77027,2.99545,1.74641,1.58189,0,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,5573.83,1.35254,2.29977,1.37045,1.28638,0,0.47312,0.53337,0.44291,0.2167,0.43956,0.45199,0.34824,0.14873,1.80534,3.01681,1.81664,1.61168,0,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
67,5664.79,1.35479,2.27145,1.35423,1.28767,0,0.53756,0.51901,0.45233,0.21937,0.49304,0.43934,0.36342,0.15509,1.80067,2.9869,1.78657,1.59262,0,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
68,5765.77,1.34141,2.24069,1.337,1.28237,0,0.59496,0.4855,0.46043,0.21617,0.52231,0.40085,0.35967,0.15262,1.78792,3.04978,1.7734,1.58482,0,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144,0.00144343,0.000481144
69,5867.08,1.32976,2.22999,1.32709,1.26403,0,0.55037,0.50407,0.45466,0.22009,0.47945,0.4448,0.36116,0.15337,1.79025,3.00238,1.76428,1.58691,0,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
70,5969.02,1.32285,2.24746,1.34009,1.27043,0,0.55036,0.49788,0.46243,0.22629,0.46263,0.44823,0.36525,0.15493,1.77634,2.94513,1.77758,1.56389,0,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285,0.00135855,0.00045285
71,6057.7,1.337,2.24588,1.33335,1.26463,0,0.52053,0.52638,0.44877,0.22008,0.46158,0.46396,0.35578,0.15169,1.78871,2.99985,1.79862,1.58141,0,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
72,6144.02,1.31815,2.24692,1.32881,1.27459,0,0.4705,0.57863,0.47118,0.23554,0.55294,0.41558,0.39683,0.16687,1.76827,3.01945,1.73,1.57254,0,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556,0.00127367,0.000424556
73,6229.46,1.32349,2.22322,1.30423,1.2698,0,0.57016,0.46186,0.47026,0.2305,0.52415,0.41577,0.38358,0.16242,1.75995,3.00448,1.75116,1.57124,0,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
74,6314.24,1.32425,2.23468,1.31471,1.26484,0,0.53166,0.49384,0.47059,0.23235,0.4522,0.47344,0.38318,0.16821,1.75501,2.9645,1.75153,1.57228,0,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262,0.00118879,0.000396262
75,6396.77,1.32356,2.24138,1.31483,1.2662,0,0.5811,0.51427,0.47973,0.23163,0.49305,0.43281,0.37109,0.16131,1.78887,3.06233,1.76655,1.58217,0,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
76,6480.25,1.32028,2.2069,1.30141,1.25773,0,0.57063,0.49007,0.47377,0.23116,0.50423,0.44707,0.38414,0.16253,1.79563,3.09726,1.76984,1.59152,0,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967,0.0011039,0.000367967
77,6563.36,1.34585,2.27572,1.28798,1.25904,0,0.553,0.51242,0.48723,0.2464,0.55319,0.41058,0.39284,0.17115,1.76962,2.97837,1.75146,1.58408,0,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
78,6647.37,1.32928,2.23173,1.30881,1.26779,0,0.58182,0.4911,0.49286,0.24831,0.53346,0.42013,0.40385,0.17216,1.78725,3.03669,1.74419,1.58226,0,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673,0.00101902,0.000339673
79,6731.12,1.32963,2.24156,1.31115,1.26919,0,0.55638,0.4994,0.47323,0.24141,0.49473,0.44513,0.38944,0.16112,1.7966,3.02275,1.76232,1.58701,0,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
80,6820.53,1.31827,2.21739,1.3009,1.26071,0,0.48842,0.52007,0.45148,0.23015,0.43088,0.45733,0.36523,0.16163,1.79197,3.03478,1.77795,1.59154,0,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379,0.000934137,0.000311379
81,6915.57,1.3259,2.21896,1.28708,1.25897,0,0.46047,0.57571,0.46869,0.23788,0.55333,0.38524,0.37449,0.16469,1.78318,3.03527,1.74016,1.57771,0,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
